%time,field.position0,field.position1,field.position2,field.position3,field.position4,field.position5,field.position6,field.position7,field.position8,field.position9,field.position10,field.position11,field.position12,field.position13,field.position14,field.position15,field.position16,field.position17
1.49743251240501E+018,53.0852203369,-10.7042255402,-44.9369888306,50,46.3544502258,17.7469806671,23.807641983,63.4885673523,67.7705841064,32.965713501,69.6403579712,56.9390640259,15.8274374008,56.0783119202,35.3886184692,17.7757167816,12.2047348022,12.340970993
1.4974325124143E+018,54.8521728516,-9.585691452,-44.9369888306,50,46.3544502258,16.8843421936,23.807641983,63.4885673523,70.7588272095,32.965713501,69.6403579712,56.9390640259,15.8274374008,56.0783119202,35.3886184692,17.7757167816,12.2047348022,12.340970993
1.49743251242363E+018,56.6191329956,-8.4671573639,-44.9369888306,50,46.3544502258,16.8843421936,23.807641983,63.4885673523,70.7588272095,32.965713501,67.9778213501,56.9390640259,15.8274374008,56.0783119202,35.3886184692,17.7757167816,12.2047348022,12.340970993
1.49743251243296E+018,57.2817459106,-7.488445282,-44.9369888306,50,46.3544502258,16.8843421936,23.807641983,61.0392875671,73.7470550537,32.965713501,67.9778213501,57.7328109741,15.8274374008,56.0783119202,34.9756088257,17.7757167816,12.2047348022,12.340970993
1.49743251244216E+018,59.0486907959,-6.9291782379,-44.9369888306,50,46.3544502258,16.8843421936,23.807641983,60.222858429,73.7470550537,32.965713501,67.9778213501,57.7328109741,15.8274374008,56.0783119202,34.9756088257,17.7757167816,12.2047348022,12.340970993
1.49743251245146E+018,60.8156509399,-6.3699111939,-44.9369888306,50,46.3544502258,16.8843421936,23.807641983,59.4064292908,73.7470550537,32.965713501,67.1465454102,57.7328109741,15.8274374008,55.3749275208,34.5626029968,17.7757167816,12.9694671631,12.340970993
1.49743251246072E+018,61.6991348267,-6.3699111939,-44.9369888306,50,44.5437545776,16.8843421936,23.807641983,58.5900001526,73.7470550537,32.965713501,67.1465454102,57.7328109741,15.8274374008,55.3749275208,34.1495933533,19.9528598785,12.9694671631,12.340970993
1.49743251246998E+018,63.4660949707,-5.8106441498,-44.9369888306,50,45.4491043091,16.8843421936,23.807641983,57.7735671997,73.7470550537,32.965713501,66.3152770996,59.3203125,14.7641878128,55.3749275208,33.3235778809,21.4042854309,12.9694671631,12.340970993
1.49743251247913E+018,64.349571228,-5.2513771057,-44.9369888306,50,45.4491043091,16.8843421936,23.807641983,56.9571495056,73.7470550537,32.965713501,66.3152770996,59.3203125,14.7641878128,55.3749275208,32.4975624084,24.307144165,12.9694671631,12.340970993
1.49743251248841E+018,65.233039856,-5.2513771057,-44.9369888306,50,45.4491043091,16.2373580933,23.807641983,56.3448257446,73.7470550537,35.8685760498,66.3152770996,59.3203125,14.7641878128,55.3749275208,32.0845527649,26.4842853546,12.9694671631,12.340970993
1.49743251249758E+018,66.1165161133,-4.6921100617,-44.9369888306,50,45.4491043091,16.2373580933,23.807641983,56.3448257446,73.7470550537,35.8685760498,66.3152770996,59.3203125,14.7641878128,55.3749275208,31.2585372925,28.6614341736,12.9694671631,12.340970993
1.49743251250684E+018,67,-4.6921100617,-44.9369888306,50,45.4491043091,16.2373580933,23.807641983,55.5283927917,73.7470550537,37.3199958801,66.3152770996,59.3203125,16.6248855591,55.3749275208,30.8455295563,31.3828601837,12.9694671631,12.340970993
1.49743251251614E+018,67.8834762573,-4.1328411102,-44.9369888306,50,45.4491043091,16.2373580933,23.807641983,55.5283927917,73.7470550537,37.3199958801,64.6527252197,59.3203125,16.6248855591,55.3749275208,30.535774231,33.5600013733,12.9694671631,12.340970993
1.49743251252533E+018,68.7669525146,-4.1328411102,-44.9369888306,50,47.2597999573,16.2373580933,23.807641983,54.7119636536,73.7470550537,38.4085769653,64.6527252197,59.3203125,16.6248855591,55.3749275208,30.1227645874,35.0114326477,12.9694671631,12.340970993
1.49743251253462E+018,70.5339202881,-4.1328411102,-44.9369888306,50,47.2597999573,16.2373580933,29.1864757538,54.7119636536,67.7705841064,38.4085769653,64.6527252197,59.3203125,16.6248855591,55.3749275208,30.1227645874,36.4628639221,12.9694671631,12.340970993
1.49743251254386E+018,70.5339202881,-4.1328411102,-44.9369888306,50,47.2597999573,16.2373580933,29.1864757538,54.7119636536,67.7705841064,38.4085769653,64.6527252197,59.3203125,16.6248855591,55.3749275208,30.535774231,38.6400032043,12.9694671631,12.340970993
1.49743251255313E+018,70.5339202881,-4.1328411102,-44.9369888306,50,47.2597999573,17.7469806671,31.8758926392,54.7119636536,67.7705841064,38.4085769653,64.6527252197,60.9078140259,16.6248855591,55.3749275208,30.535774231,39.9100074768,12.9694671631,12.340970993
1.49743251256231E+018,70.5339202881,-4.1328411102,-44.9369888306,50,47.2597999573,17.7469806671,31.8758926392,54.7119636536,67.7705841064,38.4085769653,64.6527252197,60.9078140259,16.6248855591,55.3749275208,30.8455295563,40.635723114,12.9694671631,12.340970993
1.49743251257158E+018,70.5339202881,-4.1328411102,-44.9369888306,50,47.2597999573,17.7469806671,31.8758926392,54.7119636536,67.7705841064,38.4085769653,64.6527252197,60.9078140259,16.6248855591,55.3749275208,30.8455295563,41.3614273071,12.9694671631,12.340970993
