%time,field.sensors0.values0,field.sensors0.values1,field.sensors0.values2,field.sensors0.values3,field.sensors0.values4,field.sensors0.values5,field.sensors0.values6,field.sensors0.values7,field.sensors0.values8,field.sensors0.values9,field.sensors0.values10,field.sensors0.values11,field.sensors0.values12,field.sensors0.values13,field.sensors0.values14,field.sensors0.values15,field.sensors0.values16,field.sensors0.values17,field.sensors0.values18,field.sensors0.values19,field.sensors0.values20,field.sensors0.values21,field.sensors0.values22,field.sensors0.values23,field.sensors0.values24,field.sensors0.values25,field.sensors0.values26,field.sensors0.values27,field.sensors0.values28,field.sensors0.values29,field.sensors0.values30,field.sensors0.values31,field.sensors0.values32,field.sensors0.values33,field.sensors0.values34,field.sensors0.values35,field.sensors0.values36,field.sensors0.values37,field.sensors0.values38,field.sensors0.values39,field.sensors0.values40,field.sensors0.values41,field.sensors0.values42,field.sensors0.values43,field.sensors0.values44,field.sensors0.values45,field.sensors0.values46,field.sensors0.values47,field.sensors0.values48,field.sensors0.values49,field.sensors0.values50,field.sensors0.values51,field.sensors0.values52,field.sensors0.values53,field.sensors0.values54,field.sensors0.values55,field.sensors0.values56,field.sensors0.values57,field.sensors0.values58,field.sensors0.values59,field.sensors0.values60,field.sensors0.values61,field.sensors0.values62,field.sensors0.values63
1.4974325632734E+018,67,0,0,0,0,135,0,0,84,0,47,0,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,842,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743256327988E+018,67,0,0,0,0,127,0,0,94,0,47,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,845,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743256328627E+018,67,0,0,0,0,119,0,0,116,0,49,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,844,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743256329269E+018,70,0,0,0,0,117,0,0,129,0,52,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,848,101,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.497432563299E+018,70,0,0,0,0,108,0,0,134,0,47,0,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,842,105,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743256330538E+018,71,0,0,0,0,101,0,0,145,0,44,0,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,850,99,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743256331167E+018,71,0,0,0,0,114,0,0,149,0,45,0,0,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,860,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743256331816E+018,70,0,0,0,0,109,0,0,165,0,46,0,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,866,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743256332439E+018,68,0,0,0,0,116,0,0,178,0,46,0,0,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,872,104,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743256333081E+018,73,0,0,0,0,113,0,0,190,0,49,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,873,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743256333714E+018,66,0,0,0,0,118,0,0,200,0,49,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,882,105,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743256334352E+018,66,0,0,0,0,119,0,0,200,0,48,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,901,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743256334994E+018,69,0,0,0,0,113,0,0,211,0,53,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,912,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743256335639E+018,68,0,0,0,0,111,0,0,214,0,52,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,917,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743256336265E+018,69,0,0,0,0,104,0,0,233,0,54,0,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,926,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743256336913E+018,67,0,0,0,0,110,0,0,231,0,49,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,946,136,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743256337538E+018,70,0,0,0,0,109,0,0,240,0,50,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,952,145,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743256338188E+018,69,0,0,0,0,104,0,0,226,0,52,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,955,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743256338826E+018,66,0,0,0,0,106,0,0,237,0,53,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,961,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743256339458E+018,69,0,0,0,0,92,0,0,242,0,52,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,969,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743256340088E+018,66,0,0,0,0,85,0,0,251,0,57,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,975,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743256340727E+018,68,0,0,0,0,76,0,0,303,0,56,0,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,984,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743256341395E+018,68,0,0,0,0,68,0,0,322,0,62,0,0,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,172,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4974325634202E+018,68,0,0,0,0,62,0,0,348,0,56,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1013,184,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743256342655E+018,75,0,0,0,0,66,0,0,345,0,67,0,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1027,188,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743256343293E+018,72,0,0,0,0,64,0,0,331,0,66,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1039,203,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743256343926E+018,72,0,0,0,0,70,0,0,322,0,66,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1046,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743256344564E+018,70,0,0,0,0,73,0,0,345,0,64,0,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1060,224,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743256345201E+018,72,0,0,0,0,68,0,0,327,0,73,0,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1068,233,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743256345815E+018,68,0,0,0,0,60,0,0,295,0,70,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080,245,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743256346464E+018,66,0,0,0,0,58,0,0,277,0,67,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1097,257,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743256347101E+018,66,0,0,0,0,53,0,0,294,0,73,0,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1108,271,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743256347738E+018,64,0,0,0,0,56,0,0,298,0,72,0,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1132,277,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
1.49743256348376E+018,66,0,0,0,0,61,0,0,298,0,71,0,0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1137,293,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743256348988E+018,60,0,0,0,0,63,0,0,302,0,71,0,0,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1149,308,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0
