%time,field.position0,field.position1,field.position2,field.position3,field.position4,field.position5,field.position6,field.position7,field.position8,field.position9,field.position10,field.position11,field.position12,field.position13,field.position14,field.position15,field.position16,field.position17
1.49743298802437E+018,38.2869567871,-14.0598211288,6.4980072975,50,40.9223747253,19.4722652435,31.8758926392,44.9148254395,29.670583725,18.4514293671,50.7289123535,35.9046859741,0.9418554306,45,44.6813011169,-3.6328561306,17.3666725159,8.7899036408
1.49743298803371E+018,38.2869567871,-13.5005531311,6.4980072975,50,40.0170249939,18.6096229553,31.8758926392,44.9148254395,23.6941108704,18.4514293671,50.7289123535,35.1109390259,0.9418554306,44.2966156006,45.5073165894,-3.6328561306,17.3666725159,8.7899036408
1.49743298804302E+018,37.4034805298,-13.5005531311,6.4980072975,50,40.0170249939,18.6096229553,31.8758926392,44.9148254395,23.6941108704,18.4514293671,49.8976402283,35.1109390259,0.9418554306,44.2966156006,45.9203262329,-3.6328561306,17.3666725159,8.7899036408
1.49743298805228E+018,36.5200042725,-12.941286087,6.4980072975,50,40.0170249939,18.6096229553,31.8758926392,44.9148254395,23.6941108704,18.4514293671,49.8976402283,35.1109390259,0.9418554306,43.5932350159,46.3333358765,-3.6328561306,17.3666725159,8.7899036408
1.49743298806155E+018,35.6365203857,-12.382019043,6.4980072975,50,40.0170249939,18.6096229553,31.8758926392,44.9148254395,23.6941108704,18.4514293671,49.8976402283,35.1109390259,0.9418554306,42.8898468018,46.7463417053,-3.6328561306,17.3666725159,9.184466362
1.49743298807089E+018,34.7530441284,-12.382019043,11.0699987411,50,40.0170249939,18.6096229553,31.8758926392,44.9148254395,23.6941108704,18.4514293671,49.8976402283,35.1109390259,-0.1214027256,42.8898468018,46.7463417053,-3.6328561306,16.601940155,9.184466362
1.49743298808013E+018,34.7530441284,-11.8227519989,11.0699987411,50,40.0170249939,18.6096229553,31.8758926392,44.9148254395,23.6941108704,18.4514293671,49.8976402283,35.1109390259,-0.1214027256,43.5932350159,45.9203262329,-3.6328561306,16.601940155,9.184466362
1.49743298808943E+018,35.6365203857,-11.8227519989,11.0699987411,50,41.8277244568,17.7469806671,31.8758926392,44.9148254395,23.6941108704,21.3542823792,49.8976402283,36.6984367371,2.0051136017,43.5932350159,45.0943069458,-3.6328561306,16.601940155,9.184466362
1.49743298809873E+018,36.5200042725,-11.8227519989,11.0699987411,50,42.7330703735,17.7469806671,37.2547073364,44.9148254395,23.6941108704,22.8057136536,49.8976402283,36.6984367371,2.0051136017,43.5932350159,44.6813011169,-3.6328561306,16.601940155,9.184466362
1.49743298810801E+018,38.2869567871,-11.8227519989,11.0699987411,50,42.7330703735,17.7469806671,37.2547073364,44.9148254395,23.6941108704,24.257144928,49.8976402283,36.6984367371,3.0683717728,43.5932350159,44.6813011169,-3.6328561306,16.601940155,9.184466362
