%time,field.position0,field.position1,field.position2,field.position3,field.position4,field.position5,field.position6,field.position7,field.position8,field.position9,field.position10,field.position11,field.position12,field.position13,field.position14,field.position15,field.position16,field.position17
1.49743195990049E+018,16.4208679199,-13.5005531311,4.7835125923,50,37.5273284912,18.6096229553,26.4970588684,41.8532218933,23.6941108704,19.9028606415,40.9614486694,35.1109390259,-0.1214027256,37.4386138916,44.2682914734,-2.181429863,18.8961277008,9.5790300369
1.49743195990982E+018,15.7582626343,-14.6190881729,4.7835125923,50,36.6219787598,17.7469806671,23.807641983,41.8532218933,23.6941108704,16.9999980927,40.1301879883,35.1109390259,-0.1214027256,37.4386138916,44.2682914734,-2.181429863,18.8961277008,9.5790300369
1.49743195991911E+018,13.9913101196,-15.1783466339,4.7835125923,50,35.716632843,17.7469806671,21.1182460785,42.6696395874,23.6941108704,14.4599981308,40.1301879883,35.1109390259,-0.1214027256,37.4386138916,45.0943069458,-2.181429863,18.8961277008,9.5790300369
1.49743195992833E+018,13.1078262329,-15.7376146317,4.7835125923,50,34.8112831116,17.7469806671,18.4288291931,43.4860687256,29.670583725,14.4599981308,40.1301879883,35.1109390259,-0.1214027256,36.0318489075,45.5073165894,-0.7299981713,18.8961277008,9.5790300369
1.49743195993751E+018,11.3408737183,-15.7376146317,4.7835125923,50,34.8112831116,17.7469806671,18.4288291931,44.0983963013,32.6588134766,14.4599981308,40.1301879883,35.1109390259,-0.1214027256,36.7352333069,45.5073165894,-0.0042877458,18.8961277008,9.5790300369
1.4974319599467E+018,12.2243499756,-16.2968826294,4.7835125923,50,35.716632843,17.7469806671,18.4288291931,44.9148254395,35.6470565796,14.4599981308,40.1301879883,36.6984367371,-0.1214027256,36.7352333069,44.6813011169,0.7214280963,18.8961277008,9.5790300369
1.4974319599559E+018,13.9913101196,-16.2968826294,4.7835125923,50,35.716632843,17.7469806671,18.4288291931,45.7312545776,35.6470565796,14.4599981308,40.1301879883,37.4921875,-0.1214027256,37.4386138916,44.2682914734,1.4471439123,18.8961277008,9.5790300369
1.49743195996513E+018,15.7582626343,-16.8561477661,4.7835125923,50,35.716632843,17.7469806671,18.4288291931,46.5476875305,37.8882369995,14.4599981308,41.7927246094,38.2859382629,2.0051136017,37.4386138916,43.8552856445,2.1728596687,18.8961277008,9.5790300369
1.49743195997431E+018,17.3043441772,-16.8561477661,4.7835125923,50,35.716632843,17.7469806671,18.4288291931,47.3641052246,37.8882369995,14.4599981308,42.6239967346,38.2859382629,2.0051136017,38.1420021057,43.8552856445,2.8985700607,18.8961277008,9.5790300369
1.49743195998357E+018,19.0713043213,-16.8561477661,4.7835125923,50,35.716632843,17.7469806671,18.4288291931,48.1805343628,40.8764648438,14.4599981308,43.4552726746,38.2859382629,2.0051136017,38.8453865051,43.5455284119,3.6242859364,18.8961277008,9.5790300369
1.49743195999286E+018,19.9547805786,-16.8561477661,4.7835125923,50,35.716632843,17.7469806671,18.4288291931,48.996963501,43.8646965027,15.5485658646,43.4552726746,38.2859382629,2.0051136017,39.5487709045,43.5455284119,3.6242859364,18.8961277008,9.5790300369
1.49743196000225E+018,20.8382644653,-16.8561477661,4.7835125923,50,35.716632843,17.7469806671,18.4288291931,49.8133964539,40.8764648438,15.5485658646,44.0787315369,38.2859382629,2.0051136017,39.5487709045,43.5455284119,4.350001812,18.1314048767,9.5790300369
1.49743196001149E+018,21.7217407227,-16.8561477661,4.7835125923,50,37.5273284912,17.7469806671,18.4288291931,50.629825592,43.8646965027,15.5485658646,44.9100036621,39.8734359741,2.0051136017,39.5487709045,43.5455284119,5.075712204,18.1314048767,9.5790300369
1.4974319600208E+018,21.7217407227,-16.8561477661,4.7835125923,50,37.5273284912,17.7469806671,13.049996376,50.629825592,43.8646965027,13.0085659027,44.9100036621,40.6671905518,2.0051136017,39.5487709045,43.5455284119,5.075712204,18.1314048767,9.184466362
