%time,field.position0,field.position1,field.position2,field.position3,field.position4,field.position5,field.position6,field.position7,field.position8,field.position9,field.position10,field.position11,field.position12,field.position13,field.position14,field.position15,field.position16,field.position17
1.49743184343623E+018,68.7669525146,-3.5735836029,-96.9434814453,50,47.2597999573,6.7483010292,45.3229370117,74.7144622803,11.7411689758,38.4085769653,70.2638168335,36.6984367371,4.1316218376,53.9681549072,40.6544723511,9.2485704422,17.3666725159,12.340970993
1.49743184344549E+018,68.7669525146,-3.5735836029,-96.9434814453,50,47.2597999573,6.7483010292,45.3229370117,73.8980331421,11.7411689758,38.4085769653,70.2638168335,36.6984367371,4.1316218376,53.9681549072,40.6544723511,9.2485704422,17.3666725159,12.340970993
1.49743184345488E+018,68.7669525146,-3.5735836029,-96.9434814453,50,47.2597999573,6.7483010292,45.3229370117,73.8980331421,8.7529258728,38.4085769653,69.6403579712,36.6984367371,4.1316218376,53.9681549072,40.6544723511,9.2485704422,17.3666725159,12.340970993
1.49743184346415E+018,68.7669525146,-3.5735836029,-96.9434814453,50,47.2597999573,6.7483010292,45.3229370117,73.0816116333,8.7529258728,38.4085769653,69.6403579712,35.9046859741,4.1316218376,53.9681549072,40.6544723511,9.2485704422,17.3666725159,12.340970993
1.49743184347346E+018,68.7669525146,-3.5735836029,-96.9434814453,50,48.165145874,6.7483010292,45.3229370117,73.0816116333,8.7529258728,41.3114280701,69.6403579712,35.9046859741,4.1316218376,53.9681549072,40.6544723511,9.2485704422,17.3666725159,12.340970993
1.4974318434827E+018,68.7669525146,-3.5735836029,-96.9434814453,50,48.165145874,6.7483010292,45.3229370117,72.2651824951,8.7529258728,41.3114280701,69.6403579712,35.9046859741,5.1948800087,53.9681549072,40.6544723511,9.2485704422,17.3666725159,12.340970993
1.49743184349203E+018,68.7669525146,-4.1328411102,-96.9434814453,50,48.165145874,6.7483010292,45.3229370117,72.2651824951,8.7529258728,41.3114280701,69.6403579712,35.9046859741,5.1948800087,52.5613822937,40.6544723511,9.2485704422,17.3666725159,12.340970993
1.49743184350138E+018,68.7669525146,-4.1328411102,-96.9434814453,50,48.165145874,6.7483010292,45.3229370117,71.4487533569,8.7529258728,41.3114280701,67.9778213501,35.9046859741,5.1948800087,52.5613822937,40.6544723511,9.9742860794,17.3666725159,12.340970993
1.49743184351075E+018,68.7669525146,-5.2513771057,-92.3714904785,50,49.9758453369,6.7483010292,45.3229370117,70.6323242188,8.7529258728,41.3114280701,67.9778213501,35.9046859741,5.1948800087,52.5613822937,40.6544723511,9.9742860794,17.3666725159,12.340970993
1.49743184352005E+018,68.7669525146,-5.8106441498,-90.0854797363,50,49.9758453369,6.7483010292,45.3229370117,70.6323242188,8.7529258728,41.3114280701,67.9778213501,35.9046859741,5.1948800087,52.5613822937,40.6544723511,9.9742860794,17.3666725159,12.340970993
