%time,field.sensors0.values0,field.sensors0.values1,field.sensors0.values2,field.sensors0.values3,field.sensors0.values4,field.sensors0.values5,field.sensors0.values6,field.sensors0.values7,field.sensors0.values8,field.sensors0.values9,field.sensors0.values10,field.sensors0.values11,field.sensors0.values12,field.sensors0.values13,field.sensors0.values14,field.sensors0.values15,field.sensors0.values16,field.sensors0.values17,field.sensors0.values18,field.sensors0.values19,field.sensors0.values20,field.sensors0.values21,field.sensors0.values22,field.sensors0.values23,field.sensors0.values24,field.sensors0.values25,field.sensors0.values26,field.sensors0.values27,field.sensors0.values28,field.sensors0.values29,field.sensors0.values30,field.sensors0.values31,field.sensors0.values32,field.sensors0.values33,field.sensors0.values34,field.sensors0.values35,field.sensors0.values36,field.sensors0.values37,field.sensors0.values38,field.sensors0.values39,field.sensors0.values40,field.sensors0.values41,field.sensors0.values42,field.sensors0.values43,field.sensors0.values44,field.sensors0.values45,field.sensors0.values46,field.sensors0.values47,field.sensors0.values48,field.sensors0.values49,field.sensors0.values50,field.sensors0.values51,field.sensors0.values52,field.sensors0.values53,field.sensors0.values54,field.sensors0.values55,field.sensors0.values56,field.sensors0.values57,field.sensors0.values58,field.sensors0.values59,field.sensors0.values60,field.sensors0.values61,field.sensors0.values62,field.sensors0.values63
1.49743184343568E+018,62,0,45,0,0,37,96,215,261,0,62,0,0,272,0,0,0,0,0,0,0,0,0,1801,0,0,0,0,0,0,0,0,1351,633,0,0,0,0,38,0,0,0,0,13,733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743184344198E+018,64,0,41,0,0,36,81,208,245,0,63,0,0,268,0,0,0,0,0,0,0,0,0,1821,0,0,0,0,0,0,0,0,1339,635,0,0,0,0,40,0,0,0,0,13,758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743184344846E+018,62,0,39,0,0,36,75,199,218,0,59,0,0,258,0,0,0,0,0,0,0,0,0,1885,0,0,0,0,0,0,0,0,1338,636,0,0,0,0,41,0,0,0,0,8,777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743184345488E+018,61,0,36,0,0,40,65,202,204,0,59,0,0,257,0,0,0,0,0,0,0,0,0,1949,0,0,0,0,0,0,0,0,1334,638,0,0,0,0,42,0,0,0,0,11,789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743184346125E+018,59,0,35,0,0,40,64,195,167,0,63,0,0,255,0,0,0,0,0,0,0,0,0,2013,0,0,0,0,0,0,0,0,1333,637,0,0,0,0,42,0,0,0,0,9,798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743184346785E+018,62,0,31,0,0,40,58,191,160,0,54,0,0,253,0,0,0,0,0,0,0,0,0,2013,0,0,0,0,0,0,0,0,1331,638,0,0,0,0,42,0,0,0,0,9,806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743184347409E+018,63,0,30,0,0,39,58,175,167,0,55,0,0,254,0,0,0,0,0,0,0,0,0,2013,0,0,0,0,0,0,0,0,1325,639,0,0,0,0,41,0,0,0,0,12,805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4974318434806E+018,63,0,21,0,0,38,55,157,170,0,50,0,0,241,0,0,0,0,0,0,0,0,0,1944,0,0,0,0,0,0,0,0,1327,637,0,0,0,0,43,0,0,0,0,9,797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743184348704E+018,58,0,20,0,0,37,39,149,165,0,47,0,0,245,0,0,0,0,0,0,0,0,0,1949,0,0,0,0,0,0,0,0,1328,644,0,0,0,0,41,0,0,0,0,9,787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743184349325E+018,64,0,14,0,0,36,49,141,156,0,46,0,0,242,0,0,0,0,0,0,0,0,0,1949,0,0,0,0,0,0,0,0,1329,641,0,0,0,0,44,0,0,0,0,7,756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
