%time,field.sensors0.values0,field.sensors0.values1,field.sensors0.values2,field.sensors0.values3,field.sensors0.values4,field.sensors0.values5,field.sensors0.values6,field.sensors0.values7,field.sensors0.values8,field.sensors0.values9,field.sensors0.values10,field.sensors0.values11,field.sensors0.values12,field.sensors0.values13,field.sensors0.values14,field.sensors0.values15,field.sensors0.values16,field.sensors0.values17,field.sensors0.values18,field.sensors0.values19,field.sensors0.values20,field.sensors0.values21,field.sensors0.values22,field.sensors0.values23,field.sensors0.values24,field.sensors0.values25,field.sensors0.values26,field.sensors0.values27,field.sensors0.values28,field.sensors0.values29,field.sensors0.values30,field.sensors0.values31,field.sensors0.values32,field.sensors0.values33,field.sensors0.values34,field.sensors0.values35,field.sensors0.values36,field.sensors0.values37,field.sensors0.values38,field.sensors0.values39,field.sensors0.values40,field.sensors0.values41,field.sensors0.values42,field.sensors0.values43,field.sensors0.values44,field.sensors0.values45,field.sensors0.values46,field.sensors0.values47,field.sensors0.values48,field.sensors0.values49,field.sensors0.values50,field.sensors0.values51,field.sensors0.values52,field.sensors0.values53,field.sensors0.values54,field.sensors0.values55,field.sensors0.values56,field.sensors0.values57,field.sensors0.values58,field.sensors0.values59,field.sensors0.values60,field.sensors0.values61,field.sensors0.values62,field.sensors0.values63
1.49743294015316E+018,55,0,0,0,0,22,0,42,307,0,119,0,0,397,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1372,489,0,0,0,0,8,0,0,0,0,0,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743294015981E+018,57,0,0,0,0,22,0,43,313,0,123,0,0,401,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1373,494,0,0,0,0,4,0,0,0,0,0,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743294016616E+018,58,0,0,0,0,22,0,42,290,0,122,0,0,396,13,9,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1377,494,0,0,0,0,5,0,0,0,0,0,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743294017242E+018,55,0,0,0,0,21,0,45,267,0,118,0,0,412,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,1376,499,0,0,0,0,5,0,0,0,0,0,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743294017886E+018,57,0,0,0,0,20,4,49,260,0,119,0,0,412,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,1378,505,0,0,0,0,4,0,0,0,0,0,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743294018518E+018,54,0,0,0,0,22,4,50,252,0,121,0,0,426,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,1381,502,0,0,0,0,5,0,0,0,0,0,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743294019142E+018,56,0,0,0,0,19,8,49,246,0,129,0,0,421,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,1382,507,0,0,0,0,1,0,0,0,0,0,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743294019782E+018,62,0,0,0,0,17,14,51,241,0,126,0,0,414,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,1384,498,0,0,0,0,3,0,0,0,0,0,459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743294020421E+018,62,0,0,0,0,19,11,52,232,0,118,0,0,427,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,1385,505,0,0,0,0,0,0,0,0,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743294021068E+018,64,0,1,0,0,18,12,55,224,0,114,0,0,432,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,1392,506,0,0,0,0,4,0,0,0,0,0,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
