%time,field.sensors0.values0,field.sensors0.values1,field.sensors0.values2,field.sensors0.values3,field.sensors0.values4,field.sensors0.values5,field.sensors0.values6,field.sensors0.values7,field.sensors0.values8,field.sensors0.values9,field.sensors0.values10,field.sensors0.values11,field.sensors0.values12,field.sensors0.values13,field.sensors0.values14,field.sensors0.values15,field.sensors0.values16,field.sensors0.values17,field.sensors0.values18,field.sensors0.values19,field.sensors0.values20,field.sensors0.values21,field.sensors0.values22,field.sensors0.values23,field.sensors0.values24,field.sensors0.values25,field.sensors0.values26,field.sensors0.values27,field.sensors0.values28,field.sensors0.values29,field.sensors0.values30,field.sensors0.values31,field.sensors0.values32,field.sensors0.values33,field.sensors0.values34,field.sensors0.values35,field.sensors0.values36,field.sensors0.values37,field.sensors0.values38,field.sensors0.values39,field.sensors0.values40,field.sensors0.values41,field.sensors0.values42,field.sensors0.values43,field.sensors0.values44,field.sensors0.values45,field.sensors0.values46,field.sensors0.values47,field.sensors0.values48,field.sensors0.values49,field.sensors0.values50,field.sensors0.values51,field.sensors0.values52,field.sensors0.values53,field.sensors0.values54,field.sensors0.values55,field.sensors0.values56,field.sensors0.values57,field.sensors0.values58,field.sensors0.values59,field.sensors0.values60,field.sensors0.values61,field.sensors0.values62,field.sensors0.values63
1.49743195989703E+018,61,0,0,0,0,19,0,0,225,0,28,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,837,77,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743195990314E+018,64,0,0,0,0,34,0,0,256,0,26,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,832,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743195990961E+018,68,5,0,0,0,92,0,0,257,0,31,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,816,73,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743195991599E+018,64,38,0,0,0,99,0,0,297,0,26,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,84,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743195992221E+018,69,40,0,0,0,92,0,0,301,0,34,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,786,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4974319599287E+018,65,44,0,0,0,44,0,0,294,0,34,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,784,84,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743195993516E+018,67,42,0,0,0,44,0,0,295,0,33,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743195994147E+018,68,52,0,0,0,47,0,0,312,0,34,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,809,88,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743195994772E+018,65,53,0,0,0,51,0,0,305,0,32,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,812,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743195995414E+018,66,55,0,0,0,47,0,0,258,0,42,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,828,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743195996063E+018,64,49,0,0,0,43,0,0,260,0,38,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,830,93,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743195996697E+018,56,50,0,0,0,38,0,0,261,0,49,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,838,102,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743195997339E+018,58,48,0,0,0,36,0,0,249,0,52,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,848,99,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743195997972E+018,64,46,0,0,0,31,0,0,250,0,50,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,851,105,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743195998623E+018,67,43,0,0,0,30,0,0,239,0,50,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,859,107,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743195999258E+018,65,48,0,0,0,25,0,0,232,0,48,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,862,111,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743195999901E+018,66,51,0,0,0,24,0,0,217,0,48,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,862,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743196000537E+018,56,61,0,0,0,26,0,0,214,0,47,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,865,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743196001173E+018,66,64,0,0,0,22,0,0,219,0,49,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,858,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743196001813E+018,65,69,0,0,0,32,0,0,232,0,52,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,860,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743196002453E+018,63,80,0,0,0,35,0,0,226,0,55,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,858,124,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743196003085E+018,64,79,0,0,0,31,0,0,237,0,53,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,863,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743196003726E+018,64,82,0,0,0,34,0,0,243,0,56,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,864,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743196004372E+018,65,86,0,0,0,34,0,0,239,0,49,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,862,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743196005023E+018,65,87,0,0,0,39,0,0,270,0,56,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,866,126,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743196005661E+018,64,67,0,0,0,36,0,0,308,0,57,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,870,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743196006301E+018,67,34,0,0,0,35,0,0,347,0,55,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,874,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743196006939E+018,67,0,0,0,0,34,0,0,356,0,66,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,879,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743196007573E+018,69,0,0,0,0,35,0,0,364,0,73,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,882,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.497431960082E+018,63,0,0,0,0,39,0,0,332,0,72,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,896,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743196008835E+018,65,0,0,0,0,37,0,0,327,0,70,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,899,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743196009497E+018,66,0,0,0,0,37,0,0,380,0,73,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,908,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
