%time,field.sensors0.values0,field.sensors0.values1,field.sensors0.values2,field.sensors0.values3,field.sensors0.values4,field.sensors0.values5,field.sensors0.values6,field.sensors0.values7,field.sensors0.values8,field.sensors0.values9,field.sensors0.values10,field.sensors0.values11,field.sensors0.values12,field.sensors0.values13,field.sensors0.values14,field.sensors0.values15,field.sensors0.values16,field.sensors0.values17,field.sensors0.values18,field.sensors0.values19,field.sensors0.values20,field.sensors0.values21,field.sensors0.values22,field.sensors0.values23,field.sensors0.values24,field.sensors0.values25,field.sensors0.values26,field.sensors0.values27,field.sensors0.values28,field.sensors0.values29,field.sensors0.values30,field.sensors0.values31,field.sensors0.values32,field.sensors0.values33,field.sensors0.values34,field.sensors0.values35,field.sensors0.values36,field.sensors0.values37,field.sensors0.values38,field.sensors0.values39,field.sensors0.values40,field.sensors0.values41,field.sensors0.values42,field.sensors0.values43,field.sensors0.values44,field.sensors0.values45,field.sensors0.values46,field.sensors0.values47,field.sensors0.values48,field.sensors0.values49,field.sensors0.values50,field.sensors0.values51,field.sensors0.values52,field.sensors0.values53,field.sensors0.values54,field.sensors0.values55,field.sensors0.values56,field.sensors0.values57,field.sensors0.values58,field.sensors0.values59,field.sensors0.values60,field.sensors0.values61,field.sensors0.values62,field.sensors0.values63
1.49743298802292E+018,53,0,0,0,0,33,0,0,326,0,58,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1025,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743298802939E+018,52,0,0,0,0,41,0,0,311,0,56,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1023,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743298803576E+018,54,0,0,0,0,53,0,0,318,0,62,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743298804219E+018,53,0,0,0,0,69,0,0,322,0,58,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1016,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743298804866E+018,54,0,0,0,0,83,0,0,315,0,57,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1013,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743298805488E+018,55,0,0,0,0,89,0,0,315,0,55,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1013,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743298806129E+018,55,0,0,0,0,44,0,0,317,0,66,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743298806769E+018,53,0,0,0,0,34,0,0,313,0,66,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1022,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743298807393E+018,51,0,0,0,0,21,0,0,331,0,63,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1026,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743298808037E+018,55,0,0,0,0,27,0,0,325,0,65,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743298808693E+018,54,0,0,0,0,32,0,0,348,0,65,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1042,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743298809342E+018,52,0,0,0,0,32,0,0,367,0,63,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1053,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743298809978E+018,54,0,0,0,0,37,0,0,390,0,72,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1063,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.49743298810618E+018,54,0,0,0,0,30,0,0,408,0,65,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1076,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
