%time,field.position0,field.position1,field.position2,field.position3,field.position4,field.position5,field.position6,field.position7,field.position8,field.position9,field.position10,field.position11,field.position12,field.position13,field.position14,field.position15,field.position16,field.position17
1.49743256327509E+018,29.6730422974,-14.6190881729,2.497508049,50,36.6219787598,16.2373580933,26.4970588684,32.0560722351,23.6941108704,8.6542816162,32.648727417,31.3406276703,-1.9821004868,32.5149230957,45.9203262329,-0.7299981713,18.1314048767,11.1572828293
1.49743256328432E+018,30.3356552124,-14.6190881729,2.497508049,50,36.6219787598,16.2373580933,26.4970588684,32.0560722351,23.6941108704,8.6542816162,32.648727417,31.3406276703,-1.9821004868,32.5149230957,45.9203262329,-0.0042877458,18.1314048767,11.1572828293
1.49743256329353E+018,30.3356552124,-14.6190881729,2.497508049,50,36.6219787598,16.2373580933,26.4970588684,32.0560722351,23.6941108704,10.1057138443,32.648727417,31.3406276703,-1.9821004868,31.8115406036,46.3333358765,-0.0042877458,18.1314048767,10.7627191544
1.49743256330282E+018,29.6730422974,-14.6190881729,2.497508049,50,36.6219787598,16.2373580933,26.4970588684,32.0560722351,23.6941108704,11.5571451187,34.3112716675,31.3406276703,-1.9821004868,31.8115406036,46.3333358765,-0.7299981713,18.1314048767,11.1572828293
1.49743256331215E+018,29.6730422974,-14.6190881729,2.497508049,50,36.6219787598,15.3747205734,26.4970588684,32.0560722351,23.6941108704,11.5571451187,34.3112716675,31.3406276703,-1.9821004868,31.8115406036,46.3333358765,-0.7299981713,18.1314048767,10.7627191544
1.49743256332155E+018,29.6730422974,-14.6190881729,2.497508049,50,36.6219787598,15.3747205734,26.4970588684,33.6889305115,23.6941108704,13.0085659027,34.3112716675,32.7296905518,-1.9821004868,31.8115406036,46.3333358765,-0.7299981713,18.1314048767,10.7627191544
1.49743256333094E+018,29.6730422974,-14.6190881729,2.497508049,50,38.2063293457,15.3747205734,31.8758926392,33.6889305115,23.6941108704,14.4599981308,35.1425476074,32.7296905518,-1.9821004868,31.8115406036,46.3333358765,-0.7299981713,18.1314048767,10.7627191544
1.49743256334023E+018,31.2191314697,-13.5005531311,2.497508049,50,38.2063293457,15.3747205734,31.8758926392,34.5053596497,23.6941108704,14.4599981308,35.1425476074,33.5234375,-1.9821004868,33.2183074951,45.5073165894,-0.7299981713,17.3666725159,10.7627191544
1.49743256334948E+018,32.9860916138,-13.5005531311,2.497508049,50,38.2063293457,15.3747205734,31.8758926392,35.3217926025,23.6941108704,15.5485658646,35.9738197327,33.5234375,-1.9821004868,33.9216957092,45.0943069458,-0.7299981713,17.3666725159,10.7627191544
1.49743256335886E+018,33.8695678711,-12.941286087,2.497508049,50,38.2063293457,16.2373580933,31.8758926392,35.3217926025,23.6941108704,16.9999980927,35.9738197327,33.5234375,-0.1214027256,33.9216957092,44.6813011169,-0.7299981713,17.3666725159,10.7627191544
1.49743256336805E+018,34.7530441284,-11.8227519989,2.497508049,50,38.2063293457,16.2373580933,31.8758926392,36.1382102966,29.670583725,16.9999980927,36.8050880432,33.5234375,-0.1214027256,34.6250801086,44.6813011169,-0.7299981713,17.3666725159,10.7627191544
1.49743256337725E+018,35.6365203857,-11.8227519989,2.497508049,50,38.2063293457,16.2373580933,31.8758926392,36.9546394348,29.670583725,18.4514293671,36.8050880432,33.5234375,-0.1214027256,35.3284606934,44.2682914734,-0.7299981713,17.3666725159,10.7627191544
1.49743256338656E+018,36.5200042725,-11.2634849548,2.497508049,50,38.2063293457,16.2373580933,31.8758926392,36.9546394348,29.670583725,18.4514293671,37.6363639832,33.5234375,0.9418554306,36.0318489075,43.8552856445,-0.7299981713,16.601940155,10.7627191544
1.49743256339586E+018,36.5200042725,-11.2634849548,0.2115036845,50,38.2063293457,16.2373580933,31.8758926392,37.771068573,32.6588134766,19.9028606415,37.6363639832,33.5234375,0.9418554306,36.0318489075,43.5455284119,-0.0042877458,16.601940155,10.7627191544
1.49743256340513E+018,36.5200042725,-11.2634849548,0.2115036845,50,38.2063293457,16.2373580933,31.8758926392,38.5875015259,29.670583725,21.3542823792,38.4676361084,33.5234375,0.9418554306,36.7352333069,42.7195129395,-0.0042877458,16.601940155,10.7627191544
1.49743256341441E+018,36.5200042725,-11.2634849548,0.2115036845,50,40.0170249939,17.7469806671,31.8758926392,38.5875015259,29.670583725,22.8057136536,38.4676361084,33.5234375,0.9418554306,37.4386138916,41.893497467,-0.0042877458,16.601940155,10.7627191544
1.49743256342367E+018,39.1704330444,-11.2634849548,0.2115036845,50,40.9223747253,18.6096229553,31.8758926392,39.4039306641,29.670583725,22.8057136536,39.2989120483,35.1109390259,0.9418554306,38.1420021057,41.0674819946,1.4471439123,16.601940155,10.7627191544
1.49743256343286E+018,41.8208694458,-11.2634849548,0.2115036845,50,40.9223747253,19.4722652435,31.8758926392,40.2203598022,29.670583725,24.257144928,40.1301879883,35.9046859741,3.0683717728,38.1420021057,41.0674819946,2.1728596687,16.601940155,10.7627191544
1.49743256344198E+018,43.5878295898,-11.2634849548,-2.0745007992,50,41.8277244568,19.4722652435,31.8758926392,41.0367927551,29.670583725,24.257144928,40.9614486694,36.6984367371,3.0683717728,38.8453865051,40.6544723511,2.1728596687,16.601940155,10.7627191544
1.49743256345117E+018,44.2504348755,-11.2634849548,-2.0745007992,50,41.8277244568,19.4722652435,31.8758926392,41.8532218933,29.670583725,25.7085762024,42.6239967346,36.6984367371,3.0683717728,40.0763092041,40.2414627075,2.1728596687,16.601940155,10.7627191544
1.49743256346037E+018,46.0173873901,-11.2634849548,-2.0745007992,50,42.7330703735,19.4722652435,31.8758926392,43.4860687256,29.670583725,25.7085762024,43.4552726746,37.4921875,4.1316218376,40.7796936035,40.2414627075,2.1728596687,16.601940155,10.7627191544
1.49743256346955E+018,47.7843475342,-11.2634849548,-6.6464924812,50,42.7330703735,19.4722652435,31.8758926392,44.0983963013,29.670583725,27.1599979401,44.0787315369,37.4921875,4.1316218376,41.4830780029,39.828453064,2.1728596687,16.601940155,10.7627191544
1.4974325634788E+018,49.5513076782,-11.2634849548,-6.6464924812,50,42.7330703735,19.4722652435,31.8758926392,44.9148254395,29.670583725,27.1599979401,44.9100036621,38.2859382629,4.1316218376,42.1864624023,39.4154472351,2.1728596687,16.601940155,10.7627191544
1.49743256348812E+018,50.4347839355,-11.2634849548,-8.9324970245,50,42.7330703735,19.4722652435,31.8758926392,45.7312545776,35.6470565796,28.6114292145,45.741268158,38.2859382629,4.1316218376,42.8898468018,39.0024375916,2.1728596687,16.601940155,10.7627191544
1.49743256349741E+018,51.3182601929,-11.2634849548,-8.9324970245,50,42.7330703735,20.3349094391,31.8758926392,46.5476875305,35.6470565796,28.6114292145,46.5725402832,39.0796852112,4.1316218376,43.5932350159,38.5894317627,2.1728596687,16.601940155,10.7627191544
1.49743256350668E+018,51.3182601929,-11.2634849548,-11.2184839249,50,42.7330703735,20.3349094391,31.8758926392,47.3641052246,35.6470565796,28.6114292145,47.4038162231,39.0796852112,4.1316218376,44.2966156006,38.1764221191,3.6242859364,16.601940155,10.7627191544
1.49743256351602E+018,52.2017440796,-10.7042255402,-11.2184839249,50,42.7330703735,20.3349094391,31.8758926392,48.996963501,40.8764648438,28.6114292145,49.0663642883,39.8734359741,4.1316218376,45.7033882141,38.1764221191,3.6242859364,15.8372077942,10.7627191544
1.49743256352523E+018,53.0852203369,-10.7042255402,-13.504488945,50,43.6384048462,20.3349094391,31.8758926392,49.8133964539,40.8764648438,28.6114292145,51.5601768494,39.8734359741,5.1948800087,46.4067726135,38.1764221191,2.8985700607,15.8372077942,10.7627191544
1.49743256353424E+018,53.9686889648,-10.7042255402,-15.7904930115,50,43.6384048462,20.3349094391,31.8758926392,51.4462547302,43.8646965027,28.6114292145,53.2227249146,40.6671905518,5.1948800087,47.813533783,38.1764221191,2.8985700607,15.8372077942,10.7627191544
1.49743256354343E+018,55.7356491089,-10.7042255402,-18.0764980316,50,43.6384048462,20.3349094391,31.8758926392,52.2626838684,43.8646965027,28.6114292145,54.0539970398,40.6671905518,5.1948800087,49.2203063965,38.1764221191,2.1728596687,15.8372077942,10.7627191544
1.49743256355269E+018,57.2817459106,-10.7042255402,-18.0764980316,50,43.6384048462,20.3349094391,31.8758926392,52.2626838684,43.8646965027,28.6114292145,55.7165489197,41.4609413147,5.1948800087,49.9236946106,37.3504066467,2.1728596687,15.8372077942,10.7627191544
1.49743256356199E+018,58.165222168,-10.7042255402,-20.3624839783,50,43.6384048462,20.3349094391,31.8758926392,53.0791053772,43.8646965027,31.5142822266,56.5478210449,41.4609413147,7.3213963509,51.1546211243,37.0406494141,2.1728596687,15.8372077942,10.7627191544
1.49743256357122E+018,59.9321746826,-10.7042255402,-22.6484889984,50,43.6384048462,20.3349094391,31.8758926392,53.0791053772,43.8646965027,32.965713501,58.0025405884,42.2546844482,7.3213963509,51.8579978943,36.6276397705,2.1728596687,15.8372077942,10.7627191544
1.49743256358049E+018,60.8156509399,-10.7042255402,-24.9344940186,50,43.6384048462,20.3349094391,31.8758926392,53.0791053772,43.8646965027,34.4171447754,58.8338165283,43.0484390259,7.3213963509,52.5613822937,36.2146339417,2.1728596687,15.8372077942,10.7627191544
1.49743256358978E+018,61.6991348267,-11.2634849548,-29.5064849854,50,45.4491043091,20.3349094391,31.8758926392,53.0791053772,43.8646965027,35.8685760498,60.4963645935,43.8421897888,8.3846464157,53.2647705078,35.3886184692,3.6242859364,15.8372077942,10.7627191544
1.49743256359906E+018,62.582611084,-11.2634849548,-31.2209968567,50,45.4491043091,19.4722652435,34.5652885437,53.0791053772,46.852935791,37.3199958801,61.3276405334,44.4375,8.3846464157,53.9681549072,34.1495933533,5.075712204,15.8372077942,10.7627191544
1.49743256360824E+018,63.4660949707,-11.2634849548,-33.5069847107,50,46.3544502258,19.4722652435,34.5652885437,53.0791053772,46.852935791,38.4085769653,62.1589012146,45.2312507629,9.4479045868,54.6715431213,33.3235778809,6.3457121849,15.8372077942,10.7627191544
1.49743256361748E+018,64.349571228,-11.2634849548,-38.078994751,50,46.3544502258,19.4722652435,34.5652885437,53.0791053772,46.852935791,39.8599967957,62.9901771545,46.0249977112,9.4479045868,55.3749275208,32.9105682373,7.7971439362,15.8372077942,10.7627191544
1.49743256362686E+018,65.233039856,-12.382019043,-40.3649978638,50,46.3544502258,19.4722652435,34.5652885437,53.0791053772,52.829410553,39.8599967957,63.8214492798,47.6124992371,9.4479045868,55.3749275208,32.0845527649,9.2485704422,15.8372077942,10.3681564331
1.49743256363599E+018,66.1165161133,-12.941286087,-44.9369888306,50,46.3544502258,19.4722652435,34.5652885437,53.0791053772,52.829410553,41.3114280701,64.6527252197,48.40625,9.4479045868,56.0783119202,31.6715431213,10.7000017166,15.8372077942,10.3681564331
1.49743256364528E+018,66.1165161133,-13.5005531311,-47.2229919434,50,46.3544502258,19.4722652435,37.2547073364,53.0791053772,52.829410553,41.3114280701,64.6527252197,48.40625,9.4479045868,56.7816886902,31.2585372925,11.4257173538,15.0724754333,10.3681564331
1.49743256365449E+018,67,-14.0598211288,-49.5089797974,50,46.3544502258,19.4722652435,37.2547073364,53.0791053772,55.8176383972,42.7628593445,65.4840011597,48.40625,9.4479045868,56.7816886902,30.8455295563,12.1514282227,15.0724754333,10.3681564331
1.49743256366374E+018,67.8834762573,-14.6190881729,-51.7949867249,50,46.3544502258,19.4722652435,37.2547073364,53.8955345154,55.8176383972,42.7628593445,65.4840011597,48.40625,9.4479045868,57.4850769043,30.8455295563,13.6028594971,15.0724754333,10.3681564331
1.49743256367292E+018,67.8834762573,-14.6190881729,-54.0809898376,50,46.3544502258,19.4722652435,37.2547073364,53.8955345154,55.8176383972,42.7628593445,66.3152770996,48.40625,11.5744132996,58.1884613037,30.535774231,14.3285703659,15.0724754333,10.3681564331
