# ROTATION_AXIS=0
# TRANSLATION_AXIS=1
# COUPLED_TRANSLATION_AXIS=2
# EXTENSION_AXIS=3
# joint_name_1 axis_1_type (x,y,z) axis_2_type (x,y,z) ... ;joint_name_2 ...
# pose@TRANSLATION_AXIS@(1,0,0) pose@TRANSLATION_AXIS@(0,1,0) pose@TRANSLATION_AXIS@(0,0,1) pose@ROTATION_AXIS@(1,0,0) pose@ROTATION_AXIS@(0,1,0) pose@ROTATION_AXIS@(0,0,1) 
0 18.7094 10.3734 -1.04134 3.13183 -0.00526825 1.52978 
1 18.7085 10.3754 -1.05351 3.13122 -0.00529688 1.52976 
2 18.7101 10.3741 -1.03526 3.13225 -0.00531943 1.52977 
3 18.7071 10.3746 -1.0476 3.13161 -0.00524525 1.52969 
4 18.7085 10.3731 -1.04196 3.13197 -0.00526702 1.52972 
5 18.7065 10.3726 -1.02864 3.13256 -0.00527728 1.52971 
6 18.7061 10.3731 -1.03518 3.13223 -0.00523836 1.52971 
7 18.7094 10.3728 -1.02454 3.13276 -0.00541002 1.52977 
8 18.7095 10.3736 -1.03612 3.13216 -0.00532419 1.52978 
9 18.7084 10.3731 -1.0349 3.13227 -0.00526273 1.52976 
10 18.7085 10.3718 -1.01723 3.13322 -0.0053515 1.52972 
11 18.7081 10.3724 -1.02109 3.133 -0.00525181 1.52977 
12 18.7081 10.3726 -1.03085 3.13243 -0.00532548 1.52974 
13 18.7075 10.3733 -1.03785 3.13207 -0.0052861 1.52973 
14 18.7076 10.3728 -1.03248 3.13244 -0.00534856 1.52973 
15 18.7072 10.3721 -1.03614 3.13221 -0.00522668 1.52972 
16 18.7085 10.3729 -1.0371 3.13219 -0.00521979 1.52973 
17 18.7086 10.3738 -1.04826 3.13158 -0.00520673 1.52973 
18 18.7077 10.3735 -1.03673 3.13205 -0.00534188 1.52973 
19 18.7077 10.3737 -1.03567 3.1322 -0.00535274 1.52975 
20 18.7085 10.3733 -1.03616 3.13218 -0.00534447 1.52975 
21 18.7085 10.373 -1.03292 3.13242 -0.005269 1.52975 
22 18.7103 10.3733 -1.02862 3.13257 -0.00537402 1.52981 
23 18.7094 10.3725 -1.03745 3.13218 -0.00513921 1.52977 
24 18.7094 10.3739 -1.04052 3.1319 -0.0052976 1.52976 
25 18.7097 10.3743 -1.04641 3.13154 -0.00530946 1.52975 
26 18.7092 10.3727 -1.03997 3.13198 -0.00520276 1.52975 
27 18.7091 10.3733 -1.03371 3.13231 -0.00533412 1.52976 
28 18.71 10.3735 -1.03003 3.13247 -0.0053344 1.52978 
29 18.7109 10.3736 -1.02262 3.13288 -0.00548215 1.52981 
30 18.7093 10.3736 -1.03737 3.13214 -0.00531624 1.52975 
31 18.709 10.3743 -1.04754 3.13156 -0.00528333 1.52974 
32 18.7096 10.3728 -1.02918 3.13254 -0.00534339 1.52973 
33 18.709 10.3742 -1.04978 3.13143 -0.00525278 1.52974 
34 18.7098 10.374 -1.04557 3.13192 -0.0052486 1.52978 
35 18.7094 10.3734 -1.0362 3.13219 -0.00531038 1.52975 
36 18.7093 10.3726 -1.02687 3.13268 -0.00534282 1.52978 
37 18.7084 10.3731 -1.02974 3.13256 -0.00533049 1.52974 
38 18.7092 10.3734 -1.04012 3.13195 -0.00532428 1.52974 
39 18.7103 10.3743 -1.04348 3.13179 -0.00525441 1.52978 
40 18.7073 10.3733 -1.03602 3.13259 -0.0054047 1.52966 
41 18.7086 10.3732 -1.01804 3.1331 -0.00529463 1.52976 
42 18.7094 10.3731 -1.03456 3.13225 -0.00527672 1.52978 
43 18.7089 10.3736 -1.03863 3.13199 -0.00538005 1.52972 
44 18.7113 10.3728 -1.02146 3.13296 -0.00538371 1.52982 
45 18.7083 10.3735 -1.04236 3.13195 -0.00525974 1.52975 
46 18.7088 10.3735 -1.03594 3.13212 -0.00533829 1.52975 
47 18.7098 10.374 -1.04592 3.13168 -0.00521153 1.52976 
48 18.7089 10.3722 -1.02212 3.13286 -0.0053719 1.52976 
49 18.7072 10.3723 -1.03385 3.13235 -0.00530286 1.5297 
50 18.709 10.373 -1.0254 3.13268 -0.00541454 1.52978 
51 18.7084 10.3729 -1.02842 3.13252 -0.00532809 1.52974 
52 18.7071 10.373 -1.03779 3.13211 -0.00523774 1.52969 
